"y","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m20","m25","m30","m35","m45","m50","m55","m65","f15","f20","f35","f65","bus_passenger","sub_passenger"
3,-1.6,0,0.9,47,0,4,44,2.56,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3809.3629,3987.5885,2022.8202,1425.254,1046.1585,838.2168,864.8032,438.4032,2174.8429,5054.2346,1213.1176,562.3245,482,3216
2,-2.4,0,2.1,49,0,3,49,5.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2966.0381,3306.7813,1845.7715,1368.3173,1025.4351,816.4539,802.2568,424.2162,1027.2487,4384.5668,1187.2465,561.7106,634,4686
2,-2.5,0,1,49,0,6,48,6.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2697.6954,3215.2554,1777.7479,1298.3517,974.7318,801.8453,810.0397,442.2193,752.5396,4242.8454,1215.4682,524.8618,340,1294
2,-2.6,0,0.9,52,0,8,52,6.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2496.8181,3131.7732,1621.3565,1229.9252,895.2271,730.9854,759.3371,404.4098,637.14,4208.4572,1097.3711,501.4084,124,312
1,-2.8,0,2.3,55,0,7,51,7.84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2528.0976,3054.5089,1649.3404,1254.9868,906.0489,725.6719,728.0094,416.2185,598.9934,4230.2852,1067.6567,493.9842,36,2
0,-2.9,0,2.1,57,0,8,55,8.41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550.0382,3069.2582,1676.1082,1252.7303,886.2969,745.1448,726.0669,398.5573,607.0678,4255.3486,1080.3975,510.7964,13,0
0,-2.6,0,1.9,57,0,8,51,6.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2538.5105,3066.2662,1675.8869,1256.0014,875.2236,744.1317,726.8703,406.412,588.4983,4273.9491,1060.8378,484.6168,19,0
0,-2.1,0,2.5,56,0,9,38,4.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2514.5834,3082.9688,1698.6529,1213.0688,904.0857,750.5879,716.3295,417.9578,605.8067,4276.3212,1080.4464,487.8129,8,0
1,-1.9,0,2,55,0,8,41,3.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554.3603,3061.9827,1704.6129,1205.585,899.1318,728.445,714.0956,414.0992,637.0526,4266.5884,1103.7989,482.6152,12,5
1,-1.9,0,2.3,56,0,9,43,3.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2545.7365,3049.3064,1695.6564,1224.7163,906.7302,731.1179,713.7302,426.0584,665.0012,4218.3895,1075.489,511.8701,37,161
1,-1.9,0,2.5,66,0.1,9,43,3.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2542.303,3031.7595,1690.2626,1212.6061,925.2835,746.232,713.4863,431.7673,639.7209,4248.1746,1073.0664,538.8868,56,246
0,-2.2,0,2,81,0.5,9,52,4.84,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2469.1511,3039.5463,1655.5987,1199.5701,907.0188,698.9761,734.231,438.3799,619.3514,4174.7932,1086.8994,534.7857,85,416
1,-2.2,0,2,83,0.5,8,54,4.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445.8786,2979.8742,1677.396,1186.7689,891.3126,687.7629,772.8655,445.4824,582.732,4060.9573,1089.1511,537.8985,171,789
0,-1.9,0.3,1.4,82,0.4,8,38,3.61,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2399.9479,2847.3887,1660.2613,1219.8663,880.3636,685.5117,776.3128,456.9606,589.3282,3916.1752,1116.403,534.122,188,1035
1,-0.8,0,0.7,81,0.3,7,46,0.64,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2348.6809,2849.6423,1654.5955,1245.1284,971.919,739.2145,794.1095,469.9947,632.6776,3896.1996,1119.7084,529.7216,186,980
0,0,0,3.3,80,0.2,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2428.9893,2874.238,1704.4265,1312.0558,1014.5956,776.9283,785.4998,427.9908,704.0107,3902.4411,1237.3767,532.8006,220,1083
4,1.4,0,2.4,74,0,6,65,1.96,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2553.8709,3096.9322,1808.7333,1358.0544,1052.0858,842.0146,805.2971,428.0588,848.3786,4098.2867,1245.0799,541.7407,251,1307
4,1.4,0,3.6,67,0,3,59,1.96,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2719.6056,3235.9751,1888.7752,1387.0997,1044.7225,869.0742,808.177,408.0048,983.88,4258.0445,1306.1918,533.556,343,1489
1,2.4,0,3.5,55,0,1,62,5.76,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2882.892,3349.7157,1954.7321,1497.7037,1137.1555,883.5678,804.7556,408.1565,1331.7228,4481.4933,1320.17,603.1208,367,1618
3,2.5,0,3.3,46,0,0,46,6.25,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3120.7859,3486.664,2063.8073,1445.9994,1091.4846,853.4059,807.2075,428.9827,1688.3151,4712.0271,1303.2258,596.9327,388,2054
0,2.5,0,3,45,0,0,37,6.25,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3374.3148,3669.4364,2082.8798,1451.9756,1119.0707,863.2513,853.5617,385.5774,2171.2288,5063.1589,1317.1841,562.35,465,2230
3,1.2,0,2.7,45,0,0,35,1.44,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3887.7327,3893.5444,2206.5296,1526.3762,1098.6465,863.1784,859.1337,408.6593,2424.7573,5532.0384,1307.3212,538.1844,464,2283
0,-0.5,0,2.9,40,0,0,34,0.25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4151.5567,4015.2045,2201.5787,1517.6441,1046.2956,889.1927,811.1428,423.7561,2460.2036,5673.6481,1222.7737,577.2871,406,2227
1,-1.6,0,2,41,0,0,28,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4383.8353,4121.813,2198.7499,1547.3232,1060.9019,871.3076,823.536,427.686,2455.9861,5723.259,1315.8114,559.4414,371,2152
2,-2.6,0,1.6,46,0,0,27,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3990.1439,3996.4277,2047.8595,1432.3184,1073.7328,803.9074,808.785,408.2072,1915.152,5350.0875,1295.8298,551.7985,469,3853
3,-2.9,0,2.7,48,0,0,20,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3147.1985,3656.7708,1917.7334,1363.413,1028.2462,841.3478,811.96,427.58,1058.0538,4760.5238,1194.3992,551.3256,642,4295
2,-3.8,0,2.1,49,0,0,33,14.44,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2838.5561,3555.0641,1884.5123,1342.2597,1039.9894,800.7484,763.2258,434.2469,767.9079,4706.2114,1203.7896,564.4722,290,1183
2,-4.4,0,2.9,48,0,0,26,19.36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2702.1775,3454.4892,1756.178,1322.5,983.0021,746.819,704.2859,409.5073,635.5786,4753.8475,1167.7962,500.2525,116,296
3,-5.2,0,1.6,51,0,1,27,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2739.8139,3483.7838,1746.7593,1301.7749,991.3523,731.7209,702.5412,412.3134,630.3021,4745.3337,1180.2811,494.7284,54,0
0,-5.8,0,2.1,52,0,0,29,33.64,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2757.503,3502.4904,1760.4701,1298.267,953.1996,748.8319,699.2396,402.6155,650.0474,4775.0704,1171.9583,496.2779,28,0
1,-6.4,0,1.7,56,0,5,25,40.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2772.7609,3491.2571,1754.8118,1314.0017,957.8903,757.3202,683.5991,407.4006,671.1149,4815.8483,1184.0139,502.6214,21,0
0,-7,0,1.6,59,0,2,21,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2780.6139,3487.9432,1754.4657,1299.2547,965.8599,749.408,719.0592,390.0664,687.2134,4798.7789,1176.7656,504.5646,9,0
0,-7.2,0,1.3,61,0,3,30,51.84,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2803.1913,3518.3709,1779.2022,1301.6667,970.6791,742.6971,708.5429,397.9289,678.9458,4752.0265,1212.531,478.4149,35,10
0,-7.4,0,0.3,59,0,2,24,54.76,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2795.1302,3487.6214,1789.8582,1292.5421,1008.9347,762.1957,727.9901,409.5458,675.2878,4772.6754,1226.4843,483.2726,64,565
1,-7.8,0,2.1,55,0,1,22,60.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2756.9281,3454.61,1791.7569,1361.1127,996.9741,789.6308,774.9457,434.1096,674.2249,4694.4118,1238.8622,523.1746,173,892
2,-7.7,0,2,54,0,0,21,59.29,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2652.1441,3324.0483,1801.4965,1453.0328,1149.7792,895.0344,844.6391,484.3968,658.9151,4636.7636,1310.0714,534.9,344,2435
4,-7.6,0,1.6,55,0,1,25,57.76,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2519.3405,2847.9055,1648.7732,1426.351,1208.1979,1018.9741,913.6478,517.2983,743.7441,4270.768,1263.8432,533.7396,712,4472
7,-6.9,0,1.7,55,0,1,23,47.61,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2482.0831,2662.0406,1612.2712,1395.7268,1250.4559,1103.368,1001.3734,549.8313,686.4385,3956.3774,1285.0733,562.8275,484,2597
1,-4,0,1.2,55,0,2,20,16,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2511.324,2688.0373,1640.1081,1439.9264,1312.3121,1166.6949,1056.6613,514.519,754.2041,3960.7385,1342.5714,586.9194,332,1361
1,-1.4,0,1.5,44,0,0,32,1.96,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2534.5863,2626.2692,1662.9091,1466.3247,1295.4737,1122.7146,1081.0416,551.6107,863.6813,4061.4116,1418.3272,593.273,306,1430
2,0.9,0,2.1,36,0,2,38,0.81,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2710.3982,2693.7614,1720.4887,1510.9998,1293.3652,1154.8022,1075.5495,541.5435,1014.0743,4233.7315,1447.0067,622.8533,350,1601
2,1.7,0,2.8,43,0,4,35,2.89,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2856.6664,2721.8669,1717.156,1460.7442,1311.0648,1217.4117,1066.5346,542.9097,1117.9918,4305.2457,1398.3945,629.8864,407,1661
1,2,0,2.4,43,0,6,37,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2913.5869,2828.2211,1716.8676,1520.8883,1334.6582,1235.0978,1092.2724,541.6243,1331.7675,4551.2047,1423.4154,617.1358,409,1746
2,2.2,0,2.2,48,0,6,33,4.84,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3048.8963,2861.655,1743.0036,1563.615,1273.3366,1182.228,1004.7152,503.9378,1509.9943,4622.7266,1458.7331,633.3601,475,2078
1,2.3,0,2.4,49,0,7,37,5.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3128.9349,2945.7799,1758.573,1541.2622,1286.7302,1200.9963,931.7262,509.5979,1773.7533,4704.3098,1330.0928,575.3131,576,2675
1,1.6,0,3,56,0,8,38,2.56,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3566.9292,3144.4974,1832.8592,1580.843,1265.1751,1119.0981,862.4286,528.022,2060.307,5077.701,1307.0461,591.3638,626,3455
12,1.3,0,1.9,58,0,9,31,1.69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4113.3908,3613.3573,2164.098,1658.274,1371.9742,1149.0736,922.902,510.3344,2215.459,5727.6594,1477.9913,613.0449,939,4126
3,1.3,0,2.6,65,0,9,21,1.69,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4065.1125,3726.0957,2131.5452,1653.4535,1213.1551,1018.1303,864.4499,491.4713,2102.8311,5850.444,1431.2488,628.8605,729,2725
2,1.2,0,1.8,68,0,9,22,1.44,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3789.5552,3683.61,2130.5112,1583.3262,1167.5954,952.5821,816.706,479.5888,1698.0712,5604.409,1380.969,628.7436,627,3443
5,1.1,0,2.8,74,0,9,29,1.21,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3060.5916,3461.494,1987.1486,1515.8027,1045.0666,884.6691,776.5617,450.1245,1002.9422,5014.7695,1354.3022,618.7889,723,3962
3,0.9,0,1.5,75,0,8,28,0.81,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2813.8935,3518.1665,1926.8968,1424.2559,1037.7303,845.0835,744.7992,441.0624,810.8642,4899.2655,1286.4655,598.7396,362,1166
5,0.6,0,1.3,75,0,9,27,0.36,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2724.7673,3416.9302,1768.6366,1333.3334,970.2347,749.8151,743.2161,424.8363,624.7277,4984.0756,1181.4152,505.2386,203,319
1,0.7,0,1.6,81,0,9,30,0.49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2761.1498,3449.8626,1765.9561,1298.8684,963.4141,766.7922,709.9803,418.9969,605.8332,5007.5642,1207.9439,512.173,65,1
0,0.7,0,1.3,81,0,9,31,0.49,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2788.5948,3456.5987,1747.6222,1292.2232,961.2036,779.3861,705.5771,414.6474,582.792,4980.5129,1238.0208,519.4533,17,0
2,-0.4,0,2.4,77,0,0,30,0.16,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2766.1461,3478.9939,1736.8592,1299.4078,972.9738,809.4018,734.9129,417.1738,612.6588,4990.509,1229.7883,506.6489,19,0
1,-1.6,0,2,78,0,0,27,2.56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2801.692,3470.7597,1753.8279,1304.0884,963.7398,799.5994,700.7751,408.4671,605.7831,5009.4618,1233.1164,506.116,13,0
0,-2.2,0,2.5,76,0,0,40,4.84,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2779.9815,3507.3218,1744.4878,1310.1349,1006.9669,795.2073,705.018,417.227,584.2396,5006.1417,1208.7816,492.5156,37,12
0,-2.9,0,3.3,74,0,0,30,8.41,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2804.2118,3528.7522,1755.528,1302.2315,1001.119,823.1289,727.137,443.7448,608.1986,4987.1576,1209.1864,517.363,73,533
3,-3.6,0,2.6,73,0,0,33,12.96,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2743.7162,3460.1136,1757.5362,1358.1896,1011.561,859.3558,801.5231,455.1808,581.5113,4950.9677,1277.9817,531.4881,165,879
1,-4,0,2.5,76,0,0,37,16,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700.5523,3341.18,1771.1274,1409.4014,1171.3598,952.5671,948.0406,471.0293,621.6162,4735.728,1283.4648,567.9657,409,2390
10,-4.6,0,1.9,75,0,0,42,21.16,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567.7235,2885.0788,1673.442,1439.1881,1247.1875,1030.6452,923.6226,528.4385,755.4508,4435.8508,1373.5342,569.5154,703,4454
4,-4.3,0,3.8,73,0,0,41,18.49,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2525.5709,2692.5035,1657.2913,1484.9312,1271.5629,1049.6416,1016.4731,507.5462,742.958,4089.8537,1351.6933,623.2557,563,2763
1,-3.5,0,2.8,66,0,0,43,12.25,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2566.0131,2649.8149,1662.6421,1626.0089,1334.0195,1116.5761,1080.6244,535.5387,707.7921,4018.2643,1417.7404,602.1127,339,1469
1,-1.9,0,3.2,55,0,0,42,3.61,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2691.9563,2658.0089,1649.5387,1552.6038,1308.7639,1104.4923,997.706,506.5349,769.4529,4008.8564,1472.2093,563.289,308,1379
2,-0.6,0,2.5,45,0,0,43,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2795.5505,2720.6444,1658.6124,1497.8116,1313.2655,1094.7253,1018.4863,493.4305,1064.8502,4202.652,1468.1053,586.3449,370,1599
1,-0.5,0,2.9,43,0,0,43,0.25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2844.3175,2704.3944,1656.7619,1506.2213,1326.4952,1142.2775,1120.3341,518.293,1102.9943,4289.9368,1465.6131,632.3722,467,1782
2,0,0,3.6,37,0,0,45,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2991.9275,2684.0141,1687.9267,1569.0751,1339.2199,1180.6273,1063.6873,491.0259,1232.4237,4528.7112,1468.4375,637.2655,409,1826
1,0.9,0,3.5,32,0,0,52,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3013.6792,2816.5996,1684.6875,1632.6032,1305.28,1160.9242,982.3819,552.0688,1546.4401,4624.7426,1473.7527,665.3859,534,2153
2,0.7,0,3,29,0,0,36,0.49,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3258.2331,2808.911,1699.522,1582.6272,1227.5617,1059.9317,970.1476,562.3241,1858.1393,4815.212,1409.7165,578.8968,543,2758
4,-0.4,0,2.8,29,0,0,35,0.16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3736.9267,3008.4172,1699.5822,1699.7198,1269.0243,1065.7813,951.0715,507.3438,2189.9791,5033.8087,1383.1168,591.7059,654,3630
8,-1.7,0,2.2,31,0,0,34,2.89,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4175.1044,3700.5412,2077.9551,1909.7167,1403.997,1078.443,1041.3257,478.6264,2240.3257,5798.6708,1501.48,622.002,905,4137
1,-2.6,0,0.7,35,0,0,33,6.76,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4419.1781,3839.9021,2093.9431,1760.4638,1246.116,1000.8044,889.6418,497.7653,2253.256,6041.0025,1409.6378,571.6492,730,2757
